Id,Board_symbol,Factor,Move_value,Update
1,000010000,0,1,true
2,020010000,-500,2,true
3,010012000,500,1,true
4,220110000,-500,2,true
5,112012000,-340,1,true
6,112012200,-500,2,true
7,112112200,-450,1,true
8,112112220,-245,2,true
9,112112221,500,1,true
10,010000000,0,1,true
11,200001000,-356,2,true
12,200011000,500,1,true
13,220010010,497,2,true
14,102112000,-360,1,true
15,102112020,-500,2,true
16,120112102,500,1,true
17,100000000,0,1,true
18,120000000,-500,2,true
19,121000000,26,1,true
20,121000002,-57,2,true
21,121100002,144,1,true
22,121100202,85,2,true
23,121101202,-84,1,true
24,112202112,245,2,true
25,102000000,-500,2,true
26,102001000,186,1,true
27,122001000,-273,2,true
28,112002001,40,1,true
29,112002201,-75,2,true
30,112012201,330,1,true
31,210000000,-492,2,true
32,210001000,40,1,true
33,202001010,30,2,true
34,112100002,-120,1,true
35,112100022,-75,2,true
36,111201202,450,1,true
37,200010000,-500,2,true
38,210010000,500,1,true
39,202110000,-15,2,true
40,112010002,-500,1,true
41,112010202,-350,2,true
42,112011202,-420,1,true
43,112211202,-500,2,true
44,122111212,500,1,true
45,100000002,-500,2,true
46,100001002,230,1,true
47,100021002,135,2,true
48,112020100,12,1,true
49,112022100,50,2,true
50,112022110,-450,1,true
51,112222110,600,2,true
52,010020000,500,2,true
53,010021000,16,1,true
54,210021000,257,2,true
55,210021010,-500,1,true
56,212021010,75,2,true
57,112121002,-390,1,true
58,112121022,-315,2,true
59,122121112,500,1,true
60,010002000,-446,2,true
61,120100000,500,1,true
62,112200000,-246,2,true
63,112210000,500,1,true
64,112212000,-500,2,true
65,121011022,-390,1,true
66,121211022,-500,2,true
67,121212112,500,1,true
68,010200000,-500,2,true
69,010201000,92,1,true
70,220001010,-30,2,true
71,220011010,-440,1,true
72,220011012,-500,2,true
73,112211200,500,1,true
74,122112210,-500,2,true
75,122112211,500,1,true
76,100002000,-499,2,true
77,100002100,70,1,true
78,121000020,0,2,true
79,101202001,-180,1,true
80,122000121,0,2,true
81,122001121,-150,1,true
82,122021121,600,2,true
83,102010000,500,1,true
84,102010020,-363,2,true
85,112010020,-260,1,true
86,120112200,-500,2,true
87,121211002,500,1,true
88,121211202,500,2,true
89,122211112,500,1,true
90,100020000,494,2,true
91,101020000,-374,1,true
92,120020100,-384,2,true
93,121020001,-204,1,true
94,121022001,270,2,true
95,121022101,-210,1,true
96,121222101,385,2,true
97,010000020,-197,2,true
98,010010020,206,1,true
99,200112000,-366,2,true
100,102211000,500,1,true
101,120012210,-465,2,true
102,112211020,500,1,true
103,112211022,500,2,true
104,120000001,172,1,true
105,102200001,-75,2,true
106,102210001,360,1,true
107,010210000,500,1,true
108,210012000,-500,2,true
109,102011020,500,1,true
110,102012210,-500,2,true
111,112011220,-390,1,true
112,112011222,600,2,true
113,120010000,500,1,true
114,122010000,-497,2,true
115,122011000,500,1,true
116,122011200,-500,2,true
117,122011210,500,1,true
118,122211210,-500,2,true
119,210000010,40,1,true
120,210020010,590,2,true
121,210121000,-500,1,true
122,210021012,600,2,true
123,100010002,500,1,true
124,102010002,-368,2,true
125,102010102,-344,1,true
126,121010202,500,2,true
127,102211102,48,1,true
128,121012212,500,2,true
129,121112212,500,1,true
130,110002000,90,1,true
131,110202000,-375,2,true
132,111202000,320,1,true
133,102100000,350,1,true
134,102102000,-210,2,true
135,112102000,-140,1,true
136,112102200,175,2,true
137,112102210,-180,1,true
138,112102212,350,2,true
139,100012000,500,1,true
140,100012002,-500,2,true
141,100112002,-500,1,true
142,110012022,-350,2,true
143,110012122,-270,1,true
144,112012122,600,2,true
145,210010002,-495,2,true
146,112010200,500,1,true
147,122110200,-500,2,true
148,122111200,500,1,true
149,010212000,-500,2,true
150,110212000,500,1,true
151,110212002,-500,2,true
152,120111022,500,1,true
153,100002001,102,1,true
154,102000021,3,2,true
155,112000021,24,1,true
156,120102201,-90,2,true
157,121102201,12,1,true
158,121122201,217,2,true
159,121122211,500,1,true
160,100002010,136,1,true
161,100002012,117,2,true
162,110001022,-148,1,true
163,110021022,-500,2,true
164,110122012,-500,1,true
165,112122012,600,2,true
166,010001020,142,1,true
167,210102000,-48,2,true
168,112201000,88,1,true
169,112201020,5,2,true
170,121102210,30,1,true
171,121122210,175,2,true
172,110000002,192,1,true
173,120100002,-330,2,true
174,120101002,184,1,true
175,120101202,-20,2,true
176,120111202,500,1,true
177,100102000,446,1,true
178,100102002,-3,2,true
179,102102100,120,1,true
180,010210020,-500,2,true
181,120112000,500,1,true
182,120112020,-500,2,true
183,111212020,500,1,true
184,100012200,-500,2,true
185,110012200,500,1,true
186,122110020,-500,2,true
187,122111020,500,1,true
188,120000010,436,1,true
189,120002010,-165,2,true
190,121002010,32,1,true
191,121202010,-25,2,true
192,121202011,-60,1,true
193,121222011,595,2,true
194,220011000,-500,2,true
195,122110000,500,1,true
